Sn;F00;F01;F02;F03;F04;F05;F06;F07;F08;F09;F10;F11;F12;F13;F14;F15
S1;Mi3;Fa3;Fa#3;Sol3;Sol#3;La3;La#3;Si3;Do4;Do#4;Ré4;Re#4;Mi4;Fa4;Fa#4;Sol4
S2;Si2;Do3;Do#3;Ré3;Re#3;Mi3;Fa3;Fa#3;Sol3;Sol#3;La3;La#3;Si3;Do4;Do#4;Ré4
S3;Sol2;Sol#2;La2;La#2;Si2;Do3;Do#3;Ré3;Re#3;Mi3;Fa3;Fa#3;Sol3;Sol#3;La3;La#3
S4;Ré2;Re#2;Mi2;Fa2;Fa#2;Sol2;Sol#2;La2;La#2;Si2;Do3;Do#3;Ré3;Re#3;Mi3;Fa3
S5;La1;La#1;Si1;Do2;Do#2;Ré2;Ré#2;Mi2;Fa2;Fa#2;Sol2;Sol#2;La2;La#2;Si2;Do3
S6;Mi1;Fa1;Fa#1;Sol1;Sol#1;La1;La#1;Si1;Do2;Do#2;Ré2;Ré#2;Mi2;Fa2;Fa#2;Sol2
